"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"C3",3.42801868862426e-69,0.337244196531161,0.457,0.122,6.36103147861118e-65,"ZR"
"ATP5MF",3.59236607282429e-69,0.56688417524494,0.822,0.407,6.66599448473275e-65,"ZR"
"RAB18",8.08836155224563e-69,0.466924282185653,0.469,0.113,1.5008763696347e-64,"ZR"
"ACP1",1.50222509206564e-68,0.442178162723467,0.533,0.15,2.787528880837e-64,"ZR"
"PSAP",1.60598119565777e-68,0.254935169488428,0.914,0.511,2.98005870666255e-64,"ZR"
"ERG28",2.41615293146224e-68,0.460311108426036,0.4,0.082,4.48341337962133e-64,"ZR"
"VAMP8",7.39659100609919e-68,-0.609115509395423,0.002,0.332,1.37251142709177e-63,"ZR"
"HSPB6",9.13389459460529e-68,0.453355860479192,0.407,0.08,1.69488548097496e-63,"ZR"
"VIM",1.51305398715339e-67,-1.02407739679355,0.156,0.556,2.80762297856183e-63,"ZR"
"ACAT2",1.676732637356e-67,0.40858437575612,0.279,0.04,3.1113450818778e-63,"ZR"
"FKBP2",2.19024042791662e-67,0.561530511217522,0.741,0.317,4.06421013804208e-63,"ZR"
"ABCA1",3.50036806888062e-67,0.448303864481481,0.4,0.079,6.49528298861489e-63,"ZR"
"PINK1",2.69968317895147e-66,0.452046615162354,0.469,0.115,5.00953210686235e-62,"ZR"
"ACTB",3.19668260763447e-66,-1.07498413992177,0.951,0.952,5.93176424672653e-62,"ZR"
"TMEM106B",5.14198154234235e-66,0.394537667697202,0.41,0.085,9.54146094997046e-62,"ZR"
"H2AFJ",8.21326259335727e-66,0.517065698174735,0.62,0.215,1.52405300682337e-61,"ZR"
"LGALS3BP",1.30566092273901e-65,0.478466909773357,0.583,0.19,2.42278440823451e-61,"ZR"
"ZFP36L2",1.3521900288174e-65,-1.17403322635663,0.126,0.51,2.50912381747357e-61,"ZR"
"COX14",1.91452487762512e-65,0.521255537044366,0.669,0.257,3.55259236292116e-61,"ZR"
"NKG7",2.4783477064438e-65,-1.4625419914411,0.01,0.344,4.59882200407711e-61,"ZR"
"AURKAIP1",6.83596368955763e-65,0.51662975947769,0.672,0.265,1.26848142223431e-60,"ZR"
"MRPL27",8.03253627254089e-65,0.427627131558459,0.506,0.14,1.49051743073269e-60,"ZR"
"GZMA",1.39552882040445e-64,-0.986930944578058,0.002,0.318,2.58954327914249e-60,"ZR"
"TSC22D3",1.52871095317624e-64,-1.09872676844054,0.091,0.463,2.83667604471383e-60,"ZR"
"NDRG4",1.81242029802658e-64,0.376015478307133,0.299,0.041,3.36312710501812e-60,"ZR"
"ALDH9A1",2.41778187462931e-64,0.419852116241456,0.432,0.098,4.48643604656214e-60,"ZR"
"PPIF",3.6030003318691e-64,0.418275973814259,0.407,0.086,6.68572741581629e-60,"ZR"
"COTL1",6.34762439367424e-64,-0.692808713154043,0.007,0.331,1.17786518249019e-59,"ZR"
"ANAPC16",1.28551699491154e-63,0.468047039380616,0.802,0.384,2.38540533575786e-59,"ZR"
"ABCC3",1.67195878407445e-63,0.416579086309108,0.38,0.074,3.10248671972854e-59,"ZR"
"JUNB",1.67897558678076e-63,-1.06952542761713,0.417,0.788,3.11550709883038e-59,"ZR"
